,apt_name,address
26026,리버마이다스빌,금호동4가 97-1
26097,서울숲아이파크,송정동 104
26377,대명루첸,성수동2가 840
26635,힐스테이트,성수동2가 843
26702,행복드림,마장동 768-17
26851,푸른마을(8차),금호동1가 128-4
27239,우성2차,성수동2가 837
27255,왕십리 지웰,하왕십리동 1064
27483,옥수,옥수동 306
27731,브라운스톤2차,금호동4가 1550
27863,모닝빌,옥수동 478-1
27929,장원,마장동 767-1
30161,두산위브,행당동 375
30291,서울숲행당푸르지오,행당동 376
30746,옥수 어울림,옥수동 560
30757,갤러리아 포레,성수동1가 685-696
30829,하나,금호동1가 635
31332,래미안하이리버,금호동2가 1217
31336,서울숲푸르지오2차,금호동4가 235
31850,금호자이2차,금호동3가 700
31867,래미안 옥수 리버젠,옥수동 561
32175,금호자이1차,금호동2가 1215
32283,상리제나우스,하왕십리동 966-18
35484,E-아름다운세상,성수동2가 846
36085,텐즈힐(2구역),상왕십리동 811
36541,서울숲더샵,행당동 155-1
36789,덕현해밀,용답동 252
36850,(1-10),행당동 1-10
37330,블루빌,하왕십리동 890-446
38650,텐즈힐아파트(1단지),하왕십리동 1066
42904,신금호파크자이,금호동2가 1
45550,옥수파크힐스,옥수동 528
45700,이편한세상옥수파크힐스,옥수동 528-1
45740,대영,중곡동 68-6
45741,에스케이,중곡동 292
45742,구의현대2단지,구의동 611
45743,현대프라임,구의동 631-1
45744,광남캐스빌,구의동 620-6
45748,성동강변파크빌101(강변타워),구의동 657
45765,구의현대7단지현대홈타운,구의동 587-54
45768,광남캐스빌(198-4),구의동 198-4
45769,현대리버빌,광장동 131-1
45770,워커힐,광장동 145-8
45771,신동아파밀리에,광장동 250
45772,청구,광장동 566
45773,현대3,광장동 484
45776,현대5,광장동 554-7
45777,광장11현대홈타운,광장동 579
45778,현대파크빌,광장동 577
45779,극동2,광장동 218-1
45786,현대8(803동),광장동 569
45787,광나루현대,광장동 567
45794,"현대8(801동,802동)",광장동 565
45798,광장현대9단지,광장동 576
45804,우성2,자양동 520-2
45806,금강KCC,자양동 791
45807,자양10차현대홈타운,자양동 792
45808,우방리버파크,자양동 793
45809,우성6,자양동 515-1
45810,한강성원,자양동 831-1
45811,자양우성7,자양동 783-1
45812,더샵스타시티,자양동 227-7
45813,자양7차현대홈타운,자양동 788
45814,한솔리베르,자양동 672
45815,대종리버빌,자양동 553-314
45817,한강우성,자양동 87-1
45818,로얄동아,자양동 644
45819,자양삼성,자양동 787
45820,우성1,자양동 579
45823,자양동현대,자양동 645-5
